Top pages,Clicks,Impressions,CTR,Position
https://patristic.io/fathers/leo-iii-isaurian,0,2,0%,2.5
https://patristic.io/fathers/caesarius-of-arles?via=documented_only,0,2,0%,3
https://patristic.io/fathers/fulgentius-of-ruspe,0,2,0%,3
https://patristic.io/fathers/james-son-of-alphaeus,0,2,0%,3
https://patristic.io/fathers/gregory-of-tours?via=pedagogical,0,2,0%,4
https://patristic.io/fathers/james-son-of-alphaeus?via=episcopal,0,2,0%,4
https://patristic.io/fathers/melania-the-elder?via=episcopal,0,2,0%,4.5
https://patristic.io/fathers/polycrates-of-ephesus?via=pedagogical,0,2,0%,4.5
https://patristic.io/fathers/pope-agatho,0,2,0%,4.5
https://patristic.io/fathers/arnobius-of-sicca?via=episcopal,0,2,0%,5
https://patristic.io/fathers/braulio-of-saragossa?via=episcopal,0,2,0%,5
https://patristic.io/fathers/constantine-the-great?via=documented_only,0,2,0%,5
https://patristic.io/fathers/cyril-of-jerusalem?via=documented_only,0,2,0%,5
https://patristic.io/fathers/quadratus-of-athens,0,2,0%,5
https://patristic.io/fathers/theodore-of-mopsuestia?via=pedagogical,0,2,0%,5
https://patristic.io/fathers/alypius-of-thagaste?via=pedagogical,0,2,0%,5.5
https://patristic.io/fathers/constantine-iv?via=documented_only,0,2,0%,5.5
https://patristic.io/fathers/methodius-of-olympus?via=episcopal,0,2,0%,5.5
https://patristic.io/fathers/novatian,0,2,0%,5.5
https://patristic.io/today?d=2025-01-13,0,2,0%,5.5
https://patristic.io/today?d=2026-03-13,0,2,0%,5.5
https://patristic.io/fathers/evodius-of-antioch,0,2,0%,6
https://patristic.io/today?d=2026-05-15,0,2,0%,6
https://patristic.io/fathers/amphilochius-of-iconium,0,2,0%,6.5
https://patristic.io/fathers/aristides-of-athens?via=episcopal,0,2,0%,6.5
https://patristic.io/fathers/asclepiades-of-antioch?via=episcopal,0,2,0%,6.5
https://patristic.io/fathers/eusebius-of-nicomedia?via=documented_only,0,2,0%,6.5
https://patristic.io/fathers/onesimus?via=documented_only,0,2,0%,6.5
https://patristic.io/fathers/mesrop-mashtots,0,2,0%,7
https://patristic.io/fathers/clement-of-alexandria?via=documented_only,0,2,0%,7.5
https://patristic.io/fathers/jacob-of-serugh?via=documented_only,0,2,0%,7.5
https://patristic.io/fathers/jerome-of-stridon?via=pedagogical,0,2,0%,7.5
https://patristic.io/fathers/john-climacus?via=pedagogical,0,2,0%,7.5
https://patristic.io/events/condemnation-of-origen,0,2,0%,8
https://patristic.io/fathers/pope-marcellinus?via=episcopal,0,2,0%,8
https://patristic.io/today?d=2026-12-28,0,2,0%,8
https://patristic.io/fathers/leontius-of-byzantium?via=pedagogical,0,2,0%,8.5
https://patristic.io/fathers/didache-author,0,2,0%,9
https://patristic.io/fathers/marcion-of-sinope,0,2,0%,9
https://patristic.io/fathers/paula-of-rome,0,2,0%,9
